IOID,IOName,Targeting
2227377,O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Prospecting,Prospecting
2293077,O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Prospecting,Prospecting
2352595,O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Prospecting,Prospecting
2428661,O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Prospecting,Prospecting
2488685,O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Prospecting,Prospecting
2559539,O-L2PP_2016_Aviva_UK_September_Car Insurance_Prospecting,Prospecting
2637374,O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Prospecting_October,Prospecting
2709277,O-ML40_2016_Aviva_Car Insurance_Non-Customers_Prospecting_November,Prospecting
2806249,O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December,Prospecting
2814418,O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th,Prospecting
2814422,O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th_AI,Prospecting
2886945,O-NR27_2017_Aviva_Car Insurance_Non-Customers_Prospecting_January,Prospecting
2959863,O-PLTW_2017_Aviva_Car Insurance_Non-Customers_Prospecting_February,Prospecting
3054350,O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Prospecting_March,Prospecting
3191758,O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Prospecting_April,Prospecting
3323742,O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Prospecting_May,Prospecting
2227378,O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,Remarketing non-existing
2293078,O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,Remarketing non-existing
2352596,O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,Remarketing non-existing
2428662,O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Retargeting,Remarketing non-existing
2488686,O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,Remarketing non-existing
2564571,O-L2PP_2016_Aviva_UK_September_Car Insurance_Retargeting,Remarketing non-existing
2646290,O-LVP9_2016_Aviva_Car Insurance_Existing Customers_Retargeting_October,Remarketing existing
2638741,O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,Remarketing non-existing
2709279,O-ML40_2016_Aviva_Car Insurance_Existing Customers_Retargeting_November,Remarketing existing
2712512,O-ML40_2016_Aviva_Car Insurance_Non-Customers_Retargeting_November,Remarketing non-existing
2806248,O-N4YG_2016_Aviva_Car Insurance_Existing Customers_Retargeting_December,Remarketing existing
2806250,O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December,Remarketing non-existing
2814419,O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December_5th,Remarketing non-existing
2814423,O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December_5th_AI,Remarketing non-existing
2886944,O-NR27_2017_Aviva_Car Insurance_Existing Customers_Retargeting_January,Remarketing existing
2886946,O-NR27_2017_Aviva_Car Insurance_Non-Customers_Retargeting_January,Remarketing non-existing
2959862,O-PLTW_2017_Aviva_Car Insurance_Existing Customers_Retargeting_February,Remarketing existing
2959864,O-PLTW_2017_Aviva_Car Insurance_Non-Customers_Retargeting_February,Remarketing non-existing
3054349,O-QR5R_2017_Aviva_Car Insurance_Existing Customers_Retargeting_March,Remarketing existing
3054348,O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Retargeting_March,Remarketing non-existing
3191759,O-RK1W_2017_Aviva_Car Insurance_Existing Customers_Retargeting_April,Remarketing existing
3191760,O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Retargeting_April,Remarketing non-existing
3227263,O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Retargeting_April 2,Remarketing non-existing
3323740,O-SC7K_2017_Aviva_Car Insurance_Existing Customers_Retargeting_May,Remarketing existing
3323741,O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Retargeting_May,Remarketing non-existing
